attribute,occurences,entries,average
black,1671,84,19.892857142857142
white,1439,83,17.337349397590362
blue,2471,83,29.771084337349397
brown,1784,83,21.49397590361446
gray,1277,83,15.385542168674698
orange,2434,83,29.325301204819276
red,2598,83,31.301204819277107
yellow,2424,83,29.204819277108435
patches,1828,83,22.02409638554217
spots,2019,83,24.325301204819276
stripes,2433,83,29.313253012048193
furry,2124,83,25.59036144578313
hairless,2005,83,24.156626506024097
toughskin,1159,83,13.963855421686747
big,1626,83,19.59036144578313
small,1082,83,13.036144578313253
bulbous,1318,83,15.879518072289157
lean,1364,83,16.433734939759034
flippers,2336,83,28.14457831325301
hands,142,83,1.7108433734939759
hooves,1979,83,23.843373493975903
pads,1845,83,22.228915662650603
paws,1176,83,14.168674698795181
longleg,787,83,9.481927710843374
longneck,2357,83,28.397590361445783
tail,2069,83,24.927710843373493
chewteeth,2099,83,25.289156626506024
meatteeth,1203,83,14.493975903614459
buckteeth,2018,83,24.313253012048193
strainteeth,2386,83,28.746987951807228
horns,2206,83,26.57831325301205
claws,1463,83,17.626506024096386
tusks,2502,83,30.14457831325301
smelly,1258,83,15.156626506024097
flys,2592,83,31.228915662650603
hops,2492,83,30.02409638554217
swims,2192,83,26.40963855421687
tunnels,2388,83,28.771084337349397
walks,2171,83,26.156626506024097
fast,2234,83,26.91566265060241
slow,1648,83,19.85542168674699
strong,1797,83,21.650602409638555
weak,2126,83,25.6144578313253
muscle,1579,83,19.02409638554217
bipedal,412,83,4.963855421686747
quadrapedal,2326,83,28.02409638554217
active,3449,165,20.903030303030302
inactive,1474,83,17.759036144578314
nocturnal,1845,83,22.228915662650603
hibernate,1968,83,23.710843373493976
agility,1783,83,21.481927710843372
fish,1819,83,21.91566265060241
meat,2744,165,16.63030303030303
plankton,2529,83,30.46987951807229
vegetation,1402,83,16.89156626506024
insects,164,83,1.9759036144578312
forager,1417,83,17.072289156626507
grazer,1697,83,20.44578313253012
hunter,1735,83,20.903614457831324
scavenger,2334,83,28.120481927710845
skimmer,2571,83,30.97590361445783
stalker,2103,83,25.337349397590362
newworld,2153,83,25.93975903614458
oldworld,2358,83,28.40963855421687
arctic,2231,83,26.879518072289155
coastal,2280,83,27.46987951807229
desert,2591,83,31.216867469879517
bush,556,83,6.698795180722891
plains,1534,83,18.481927710843372
forest,1190,83,14.337349397590362
fields,1610,83,19.397590361445783
jungle,586,83,7.0602409638554215
mountains,628,83,7.566265060240964
ocean,2291,83,27.602409638554217
ground,2206,83,26.57831325301205
water,2192,83,26.40963855421687
tree,480,83,5.783132530120482
cave,4722,165,28.618181818181817
fierce,1102,83,13.27710843373494
timid,1715,83,20.662650602409638
smart,1810,83,21.80722891566265
group,1591,83,19.16867469879518
solitary,1169,83,14.08433734939759
nestspot,1064,83,12.819277108433734
domestic,915,83,11.024096385542169
