attribute,occurrences,entries,average
black,853627,95284,8.958765375089207
white,19643,3403,5.772259770790479
blue,43879,3403,12.894210990302675
brown,32671,3403,9.600646488392595
gray,19670,3403,5.7801939465177785
orange,43159,3403,12.682632970908022
red,44699,3403,13.135174845724361
yellow,42988,3403,12.632383191301793
patches,27317,3403,8.027328827505142
spots,33656,3403,9.890096973258888
stripes,38778,3403,11.39523949456362
furry,40452,3403,11.887158389656186
hairless,35586,3403,10.457243608580663
toughskin,17855,3403,5.246841022627094
big,25675,3403,7.544813399941228
small,18880,3403,5.5480458419042025
bulbous,23038,3403,6.769908903908316
lean,25369,3403,7.454892741698501
flippers,40712,3403,11.963561563326477
hands,4971,3403,1.4607699089039083
hooves,34085,3403,10.016162209814869
pads,33065,3403,9.716426682339112
paws,17702,3403,5.20188069350573
longleg,15143,3403,4.449897149573905
longneck,41039,3403,12.05965324713488
tail,33473,3403,9.836320893329415
chewteeth,36079,3403,10.602115780193946
meatteeth,23228,3403,6.825741992359682
buckteeth,33462,3403,9.833088451366441
strainteeth,43018,3403,12.641198942109902
horns,40455,3403,11.888039964736997
claws,22773,3403,6.6920364384366735
tusks,44699,3403,13.135174845724361
smelly,23231,3403,6.826623567440493
flys,42929,3403,12.615045548045842
hops,42140,3403,12.383191301792536
swims,40712,3403,11.963561563326477
tunnels,39266,3403,11.53864237437555
walks,37511,3403,11.022920952101087
fast,37854,3403,11.123714369673817
slow,30484,3403,8.95797825448134
strong,28090,3403,8.254481339994124
weak,33620,3403,9.879518072289157
muscle,26655,3403,7.832794593006171
bipedal,9550,3403,2.8063473405818398
quadrapedal,40167,3403,11.803408756979136
active,63252,6724,9.406900654372397
inactive,27328,3403,8.030561269468116
nocturnal,27453,3403,8.06729356450191
hibernate,35220,3403,10.349691448721716
agility,31295,3403,9.196297384660594
fish,33488,3403,9.84072876873347
meat,45875,6724,6.822575847709697
plankton,43018,3403,12.641198942109902
vegetation,25222,3403,7.4116955627387595
insects,4422,3403,1.2994416691154864
forager,27016,3403,7.938877461063767
grazer,29165,3403,8.570379077284748
hunter,27638,3403,8.121657361151925
scavenger,38792,3403,11.399353511607405
skimmer,43879,3403,12.894210990302675
stalker,35554,3403,10.447840141052012
newworld,37912,3403,11.140758154569497
oldworld,39792,3403,11.693211871877756
arctic,39227,3403,11.527181898325008
coastal,40712,3403,11.963561563326477
desert,44699,3403,13.135174845724361
bush,9269,3403,2.7237731413458715
plains,25098,3403,7.375257126065237
forest,22087,3403,6.490449603291213
fields,26210,3403,7.702027622685866
jungle,11423,3403,3.3567440493682046
mountains,8895,3403,2.6138701146047607
ocean,40712,3403,11.963561563326477
ground,36527,3403,10.733764325595063
water,40712,3403,11.963561563326477
tree,11209,3403,3.2938583602703497
cave,77514,6724,11.527959547888162
fierce,23258,3403,6.834557743167793
timid,25900,3403,7.610931531002057
smart,34120,3403,10.026447252424331
group,26448,3403,7.7719659124302085
solitary,20222,3403,5.942403761387012
nestspot,19185,3403,5.637672641786659
domestic,18712,3403,5.498677637378783
