attribute,occurrences,entries,average
black,1768,84,21.047619047619047
white,1301,83,15.674698795180722
blue,2601,83,31.337349397590362
brown,914,83,11.012048192771084
gray,1345,83,16.204819277108435
orange,2596,83,31.27710843373494
red,2773,83,33.40963855421687
yellow,2596,83,31.27710843373494
patches,858,83,10.337349397590362
spots,642,83,7.734939759036145
stripes,2593,83,31.240963855421686
furry,2223,83,26.783132530120483
hairless,651,83,7.843373493975903
toughskin,1537,83,18.518072289156628
big,1755,83,21.14457831325301
small,1620,83,19.518072289156628
bulbous,1402,83,16.89156626506024
lean,1451,83,17.481927710843372
flippers,2449,83,29.50602409638554
hands,2650,83,31.927710843373493
hooves,2125,83,25.602409638554217
pads,1942,83,23.397590361445783
paws,1522,83,18.337349397590362
longleg,805,83,9.698795180722891
longneck,2524,83,30.40963855421687
tail,2252,83,27.132530120481928
chewteeth,2216,83,26.698795180722893
meatteeth,1292,83,15.566265060240964
buckteeth,2166,83,26.096385542168676
strainteeth,2512,83,30.265060240963855
horns,2370,83,28.55421686746988
claws,1563,83,18.83132530120482
tusks,2675,83,32.2289156626506
smelly,1469,83,17.698795180722893
flys,2785,83,33.55421686746988
hops,2667,83,32.13253012048193
swims,2286,83,27.542168674698797
tunnels,2557,83,30.80722891566265
walks,2293,83,27.626506024096386
fast,2378,83,28.650602409638555
slow,1732,83,20.867469879518072
strong,1913,83,23.048192771084338
weak,2268,83,27.325301204819276
muscle,1646,83,19.83132530120482
bipedal,2387,83,28.759036144578314
quadrapedal,2459,83,29.626506024096386
active,3655,165,22.151515151515152
inactive,1563,83,18.83132530120482
nocturnal,1982,83,23.879518072289155
hibernate,2129,83,25.650602409638555
agility,1890,83,22.771084337349397
fish,1870,83,22.53012048192771
meat,2403,165,14.563636363636364
plankton,2670,83,32.16867469879518
vegetation,1349,83,16.253012048192772
insects,2621,83,31.57831325301205
forager,1348,83,16.240963855421686
grazer,1846,83,22.240963855421686
hunter,1832,83,22.072289156626507
scavenger,2506,83,30.19277108433735
skimmer,2727,83,32.855421686746986
stalker,2233,83,26.903614457831324
newworld,2312,83,27.85542168674699
oldworld,2510,83,30.240963855421686
arctic,2344,83,28.240963855421686
coastal,2394,83,28.843373493975903
desert,2774,83,33.42168674698795
bush,2192,83,26.40963855421687
plains,1652,83,19.903614457831324
forest,1585,83,19.096385542168676
fields,1731,83,20.85542168674699
jungle,2206,83,26.57831325301205
mountains,2139,83,25.771084337349397
ocean,2397,83,28.879518072289155
ground,2343,83,28.228915662650603
water,2286,83,27.542168674698797
tree,2316,83,27.903614457831324
cave,5076,165,30.763636363636362
fierce,1614,83,19.44578313253012
timid,1864,83,22.457831325301203
smart,1948,83,23.46987951807229
group,1659,83,19.987951807228917
solitary,1564,83,18.843373493975903
nestspot,1711,83,20.6144578313253
domestic,1033,83,12.44578313253012
