attribute,occurrences,entries,average
black,43778,3486,12.558232931726907
white,38685,3486,11.09724612736661
blue,65941,3486,18.915949512335054
brown,47771,3486,13.703671830177854
gray,34931,3486,10.020367183017786
orange,64029,3486,18.367469879518072
red,68481,3486,19.64457831325301
yellow,63920,3486,18.33620195065978
patches,49833,3486,14.295180722891565
spots,54306,3486,15.578313253012048
stripes,64692,3486,18.55765920826162
furry,58225,3486,16.702524383247276
hairless,54772,3486,15.711990820424555
toughskin,29155,3486,8.363453815261044
big,41900,3486,12.01950659781985
small,39014,3486,11.19162363740677
bulbous,34949,3486,10.025530694205393
lean,32587,3486,9.347963281698222
flippers,62859,3486,18.03184165232358
hands,65961,3486,18.92168674698795
hooves,55487,3486,15.917096959265635
pads,44604,3486,12.795180722891565
paws,41763,3486,11.980206540447504
longleg,50807,3486,14.574584050487665
longneck,64770,3486,18.580034423407916
tail,15217,3486,4.365174985656913
chewteeth,54840,3486,15.731497418244405
meatteeth,36861,3486,10.574010327022375
buckteeth,54556,3486,15.650028686173265
strainteeth,63191,3486,18.127079747561677
horns,60152,3486,17.25530694205393
claws,35582,3486,10.207114170969593
tusks,67017,3486,19.22461273666093
smelly,35774,3486,10.262191623637406
flys,68901,3486,19.765060240963855
hops,66801,3486,19.162650602409638
swims,57752,3486,16.566838783706253
tunnels,63242,3486,18.141709695926565
walks,58677,3486,16.832185886402755
fast,60227,3486,17.276821572002294
slow,25311,3486,7.260757314974183
strong,47144,3486,13.523809523809524
weak,56694,3486,16.263339070567987
muscle,41927,3486,12.027251864601261
bipedal,11128,3486,3.1921973608720595
quadrapedal,62641,3486,17.969305794607
active,82732,6889,12.00929017273915
inactive,29802,3486,8.549053356282272
nocturnal,22946,3486,6.582329317269076
hibernate,19055,3486,5.466150315547906
agility,20711,3486,5.941193344807803
fish,23043,3486,6.610154905335628
meat,68679,6889,9.969371461750617
plankton,67346,3486,19.31899024670109
vegetation,36055,3486,10.342799770510615
insects,64389,3486,18.470740103270224
forager,39563,3486,11.349110728628801
grazer,49666,3486,14.247274813539875
hunter,27346,3486,7.844520940906483
scavenger,60538,3486,17.366035570854848
skimmer,68427,3486,19.629087779690188
stalker,17111,3486,4.908491107286288
newworld,58346,3486,16.737234652897303
oldworld,6910,3486,1.9822145725760183
arctic,58095,3486,16.665232358003443
coastal,60218,3486,17.274239816408492
desert,68667,3486,19.697934595524956
bush,55616,3486,15.954102122776822
plains,41541,3486,11.916523235800344
forest,32678,3486,9.374067699368904
fields,45151,3486,12.952094090648307
jungle,53780,3486,15.42742398164085
mountains,17554,3486,5.035570854847963
ocean,60779,3486,17.43516924842226
ground,59988,3486,17.20826161790017
water,57752,3486,16.566838783706253
tree,56009,3486,16.066838783706253
cave,66170,6889,9.605167658586153
fierce,34066,3486,9.772231784279978
timid,27999,3486,8.03184165232358
smart,49029,3486,14.064543889845094
group,31121,3486,8.92742398164085
solitary,43124,3486,12.370625358577167
nestspot,40950,3486,11.74698795180723
domestic,46591,3486,13.365174985656914
